Farm_ID,State,District,Crop,Season,Farm_Area_Hectares,Rainfall_mm,Avg_Temperature_C,Humidity_pct,Sunlight_Hours_Day,Soil_pH,Soil_Moisture_pct,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Irrigation_Method,Fertilizer_kg_ha,Pesticide_Litre_ha,Seed_Quality_Score,Yield_Tonnes_Ha,Production_Tonnes,Market_Price_INR_Tonne,Total_Cost_INR,Revenue_INR,Profit_INR,Water_Used_m3,Water_Efficiency_t_per_1000m3,Disease_Pest_Risk_pct
SF00055,Maharashtra,Warangal,Groundnut,Zaid,3.0,866.6,29.6,47.4,4.7,5.77,18.7,27.2,69.5,21.3,Sprinkler,182.1,6.07,0.83,1.01,3.03,84910,79782,257277,177495,2746.9,1.103,50.9
SF00056,Karnataka,Rajkot,Sugarcane,Rabi,7.12,605.1,32.3,69.6,6.5,5.22,33.1,10.5,36.3,53.1,Drip,215.3,5.56,0.79,3.0,21.36,60363,348842,1289354,940512,1717.5,12.437,43.3
SF00057,Telangana,Ludhiana,Sugarcane,Zaid,6.44,220.7,19.1,45.2,10.3,6.03,45.7,78.2,19.7,47.2,Sprinkler,298.0,5.72,0.84,4.06,26.15,76947,319712,2012164,1692452,3328.8,7.856,31.8
SF00058,Telangana,Rajkot,Groundnut,Kharif,7.38,546.4,25.0,52.6,10.0,7.89,40.1,26.8,11.9,109.5,Rainfed,148.3,6.9,0.86,1.93,14.24,62350,333464,887864,554400,451.4,31.546,17.7
SF00059,Andhra Pradesh,Indore,Groundnut,Kharif,5.82,390.1,21.2,50.7,10.6,6.46,21.3,24.9,11.6,136.7,Drip,191.7,5.86,0.9,0.66,3.84,67372,192216,258708,66492,4103.3,0.936,41.6
SF00060,Maharashtra,Nalgonda,Pulses,Zaid,5.46,450.1,25.4,73.8,5.7,6.33,24.2,113.5,43.2,90.1,Rainfed,292.4,8.06,0.96,3.98,21.73,35176,333129,764374,431245,2008.3,10.82,21.6
SF00061,Karnataka,Ludhiana,Chilli,Kharif,5.59,753.5,32.4,46.9,5.8,6.92,53.7,85.4,13.7,136.9,Drip,142.7,7.87,0.71,2.7,15.09,75749,262053,1143052,880999,3893.3,3.876,64.3
SF00062,Andhra Pradesh,Indore,Wheat,Rabi,1.61,501.6,22.2,89.7,6.6,5.08,56.5,126.7,60.2,128.7,Flood,88.4,9.26,0.79,2.14,3.45,47102,256520,162502,-94018,4446.2,0.776,59.9
SF00063,Maharashtra,Nalgonda,Chilli,Kharif,6.19,720.9,22.3,46.1,5.7,6.92,41.1,14.1,76.1,85.0,Drip,219.0,6.18,0.89,2.27,14.05,18688,61537,262566,201029,291.2,48.249,27.5
SF00064,Andhra Pradesh,Ludhiana,Groundnut,Kharif,0.51,862.7,27.8,79.3,7.6,5.06,53.7,11.3,37.9,66.0,Drip,158.6,1.61,0.7,1.78,0.91,72600,118206,66066,-52140,3389.0,0.269,49.4
SF00065,Telangana,Nalgonda,Sugarcane,Zaid,1.28,482.8,21.3,46.7,9.0,7.83,11.8,34.2,72.2,142.9,Rainfed,285.3,5.64,1.0,2.74,3.51,61583,89945,216156,126211,412.8,8.503,42.6
SF00066,Andhra Pradesh,Warangal,Cotton,Kharif,2.4,739.5,25.9,60.0,7.1,7.87,27.0,32.1,63.8,65.1,Rainfed,256.3,7.54,0.63,3.46,8.3,43048,170004,357298,187294,1913.5,4.338,46.1
SF00067,Telangana,Warangal,Sugarcane,Zaid,6.67,674.1,21.0,62.2,7.1,7.18,55.6,94.2,42.0,105.9,Drip,96.5,6.74,0.75,2.59,17.28,60101,73790,1038545,964755,584.3,29.574,58.1
SF00068,Karnataka,Rajkot,Pulses,Kharif,5.6,288.8,29.6,58.1,10.6,5.1,17.7,70.2,36.5,76.6,Drip,206.3,5.77,0.76,4.3,24.08,36714,338543,884073,545530,3454.8,6.97,49.0
SF00069,Andhra Pradesh,Warangal,Cotton,Zaid,2.37,457.0,35.9,54.3,10.4,6.47,16.1,128.7,43.4,144.8,Sprinkler,299.4,8.29,0.99,0.78,1.85,42385,281642,78412,-203230,2685.2,0.689,69.2
SF00070,Maharashtra,Nalgonda,Groundnut,Zaid,5.51,279.4,35.7,79.6,5.7,6.48,28.0,88.0,44.7,157.5,Flood,214.6,1.78,0.72,3.28,18.07,89063,172233,1609368,1437135,4478.4,4.035,70.0
SF00071,Telangana,Rajkot,Sugarcane,Rabi,5.89,644.1,24.2,83.9,9.5,6.92,19.1,145.1,41.8,146.6,Drip,262.9,5.66,0.72,2.51,14.78,71665,321413,1059209,737796,554.0,26.679,19.7
SF00072,Telangana,Nalgonda,Cotton,Kharif,7.51,600.0,29.1,44.7,8.5,6.78,39.0,29.8,58.1,145.3,Rainfed,265.4,6.07,0.93,1.25,9.39,86012,168923,807653,638730,4260.5,2.204,11.7
SF00073,Karnataka,Ludhiana,Wheat,Rabi,0.84,811.2,27.8,72.1,6.1,5.73,50.4,63.9,43.6,113.3,Flood,176.7,5.36,0.68,2.99,2.51,52688,130524,132247,1723,3881.4,0.647,46.4
SF00074,Telangana,Ludhiana,Maize,Rabi,2.84,293.4,20.2,62.5,5.0,5.15,57.3,130.3,40.5,154.4,Flood,259.0,9.4,0.89,3.32,9.43,63268,229042,596617,367575,827.7,11.393,21.4
SF00075,Karnataka,Rajkot,Maize,Rabi,1.7,504.4,35.4,50.8,6.5,5.15,34.7,132.9,60.6,80.6,Drip,266.4,4.88,0.95,4.48,7.62,79186,281493,603397,321904,4419.6,1.724,53.7
SF00076,Maharashtra,Warangal,Cotton,Kharif,6.23,409.1,26.1,67.5,9.8,6.87,40.6,23.7,13.2,66.0,Rainfed,202.7,4.29,0.66,1.84,11.46,70505,46821,807987,761166,2937.4,3.901,46.1
SF00077,Karnataka,Ludhiana,Sugarcane,Kharif,3.51,585.0,27.3,56.4,8.3,5.49,59.5,112.2,30.4,60.5,Sprinkler,235.9,3.7,0.93,0.47,1.65,23100,91846,38115,-53731,3625.2,0.455,32.1
SF00078,Karnataka,Warangal,Rice,Zaid,5.55,141.1,26.6,66.2,9.0,7.32,29.0,124.1,25.6,95.9,Drip,122.0,4.97,0.77,4.42,24.53,58327,349913,1430761,1080848,327.9,74.809,34.8
SF00079,Maharashtra,Ludhiana,Groundnut,Zaid,2.03,482.7,24.8,87.8,7.2,6.6,37.3,103.0,78.8,112.1,Rainfed,214.2,2.73,0.7,2.41,4.89,79814,52653,390290,337637,3587.7,1.363,43.5
SF00080,Karnataka,Warangal,Sugarcane,Rabi,2.19,548.4,34.8,76.1,6.0,6.72,37.2,134.9,38.5,61.8,Flood,143.9,3.59,0.89,4.39,9.61,57008,171521,547847,376326,3583.5,2.682,30.8
SF00081,Telangana,Ludhiana,Cotton,Kharif,3.82,187.4,31.3,52.0,4.4,7.72,21.3,38.8,13.5,59.5,Sprinkler,102.1,7.94,0.6,1.38,5.27,80793,132190,425779,293589,1169.9,4.505,43.0
SF00082,Telangana,Warangal,Cotton,Zaid,7.47,147.3,31.8,72.6,5.6,7.22,52.5,10.4,83.3,72.7,Flood,285.5,1.33,0.93,2.01,15.01,80350,270320,1206054,935734,3322.6,4.518,57.3
SF00083,Andhra Pradesh,Warangal,Cotton,Rabi,1.9,891.3,27.8,64.7,10.6,7.55,33.4,33.0,14.6,34.4,Sprinkler,222.6,7.47,0.61,3.45,6.55,55941,39643,366414,326771,244.5,26.789,30.2
SF00084,Karnataka,Indore,Groundnut,Kharif,2.71,420.7,19.7,89.1,7.3,7.81,10.3,60.6,43.0,50.0,Rainfed,146.4,7.51,0.6,3.13,8.48,43318,112009,367337,255328,3132.6,2.707,49.2
SF00085,Karnataka,Ludhiana,Cotton,Zaid,5.7,193.9,34.5,54.8,8.3,5.66,16.7,27.2,68.6,100.9,Sprinkler,234.4,9.22,0.9,0.56,3.19,33495,264001,106849,-157152,1672.7,1.907,58.1
SF00086,Telangana,Rajkot,Maize,Kharif,6.69,763.0,34.3,50.1,7.8,5.49,52.7,69.1,62.8,117.5,Sprinkler,100.0,5.59,0.92,3.5,23.42,28730,295516,672857,377341,2344.4,9.99,37.2
SF00087,Telangana,Rajkot,Chilli,Rabi,4.35,753.2,31.4,68.9,4.3,6.03,13.2,149.1,84.4,20.4,Sprinkler,87.0,4.68,0.91,2.22,9.66,25567,312970,246977,-65993,2419.4,3.993,55.9
SF00088,Karnataka,Indore,Chilli,Rabi,7.84,164.2,35.4,83.7,4.9,7.58,15.9,149.0,38.4,29.1,Flood,263.7,7.81,0.99,3.01,23.6,73097,216325,1725089,1508764,4965.7,4.753,37.8
SF00089,Telangana,Nalgonda,Cotton,Kharif,5.89,849.9,31.1,45.6,9.7,6.26,48.3,133.1,6.3,40.9,Drip,210.7,5.02,0.87,2.08,12.25,67712,140410,829472,689062,1388.1,8.825,62.3
SF00090,Andhra Pradesh,Nalgonda,Cotton,Kharif,2.34,752.6,31.2,55.9,8.2,7.02,26.0,48.8,17.2,109.0,Flood,171.0,3.48,0.82,0.49,1.15,75535,142861,86865,-55996,2790.8,0.412,45.5
SF00091,Telangana,Indore,Groundnut,Zaid,6.01,433.1,20.7,58.8,9.3,6.42,52.5,48.6,65.1,130.9,Drip,203.7,9.71,0.82,1.04,6.25,73994,311425,462462,151037,2579.0,2.423,18.0
SF00092,Andhra Pradesh,Ludhiana,Rice,Kharif,2.32,314.8,30.1,70.1,10.1,5.56,48.1,110.0,52.5,81.9,Rainfed,146.7,9.18,0.68,1.15,2.67,28363,255817,75729,-180088,4266.2,0.626,21.4
SF00093,Maharashtra,Indore,Rice,Zaid,6.06,357.3,23.1,63.3,8.5,5.93,28.0,133.0,44.6,130.4,Sprinkler,247.6,3.88,0.68,3.44,20.85,80773,147188,1684117,1536929,3539.0,5.891,28.8
SF00094,Karnataka,Warangal,Pulses,Kharif,0.84,363.9,24.8,81.7,7.5,6.96,44.2,42.3,74.8,155.0,Sprinkler,181.4,7.59,0.74,3.93,3.3,37126,28503,122516,94013,1451.7,2.273,18.4
SF00095,Andhra Pradesh,Rajkot,Wheat,Rabi,4.6,210.0,29.4,43.4,5.1,5.66,32.8,13.8,59.2,150.1,Sprinkler,225.0,1.14,0.81,1.07,4.92,89058,50792,438165,387373,2714.9,1.812,34.7
SF00096,Karnataka,Nalgonda,Maize,Kharif,0.63,519.5,22.3,71.0,5.8,6.06,49.7,16.5,86.5,78.8,Flood,297.9,3.03,0.87,3.33,2.1,88220,170307,185262,14955,282.3,7.439,60.9
SF00097,Karnataka,Ludhiana,Sugarcane,Kharif,5.4,609.4,30.7,44.1,9.9,6.93,26.6,146.7,87.8,144.2,Drip,130.5,9.11,0.88,3.9,21.06,22152,69021,466521,397500,2145.3,9.817,44.0
SF00098,Andhra Pradesh,Nalgonda,Groundnut,Kharif,2.53,869.2,28.6,77.6,9.0,6.19,13.8,28.6,25.4,135.2,Sprinkler,228.9,5.87,0.75,4.18,10.58,54749,304704,579244,274540,2904.8,3.642,54.4
SF00099,Telangana,Rajkot,Maize,Rabi,6.43,285.7,19.4,70.3,8.3,6.79,58.4,52.3,58.9,127.5,Sprinkler,187.9,4.2,0.98,3.2,20.58,28279,282559,581982,299423,3778.2,5.447,35.9
SF00100,Maharashtra,Rajkot,Maize,Rabi,5.6,223.4,30.8,71.7,9.2,5.95,15.3,5.8,31.2,64.0,Rainfed,102.5,1.79,0.77,3.07,17.19,29232,344332,502498,158166,1617.8,10.626,43.4
SF00101,Telangana,Indore,Wheat,Rabi,4.34,431.0,32.0,76.2,7.9,7.98,22.1,80.6,63.3,35.4,Rainfed,146.2,5.44,0.63,0.73,3.17,29746,205553,94295,-111258,2860.3,1.108,36.1
SF00102,Maharashtra,Indore,Rice,Rabi,3.66,185.6,23.5,87.4,6.3,6.86,50.2,52.8,33.5,132.3,Flood,146.1,6.43,0.88,2.33,8.53,28082,209333,239539,30206,1408.2,6.057,38.7
SF00103,Karnataka,Ludhiana,Rice,Rabi,1.83,400.8,32.7,59.6,4.8,6.69,39.6,84.1,62.9,92.5,Sprinkler,287.5,2.89,0.92,1.97,3.61,59830,172802,215986,43184,3727.4,0.969,59.9
SF00104,Telangana,Nalgonda,Cotton,Zaid,1.02,223.3,25.6,58.8,7.1,6.79,39.1,82.5,83.5,140.4,Sprinkler,199.6,8.12,0.74,3.86,3.94,71627,281778,282210,432,868.1,4.539,63.7
SF00105,Telangana,Nalgonda,Wheat,Zaid,4.53,886.9,30.2,60.0,9.3,7.9,31.5,6.5,27.0,86.6,Flood,178.1,4.52,0.91,2.98,13.5,29138,77341,393363,316022,3891.0,3.47,45.3
SF00106,Karnataka,Rajkot,Maize,Zaid,4.25,213.3,23.6,62.8,5.4,6.45,33.8,68.5,64.2,57.8,Rainfed,89.8,7.4,0.61,1.75,7.44,21219,273111,157869,-115242,701.8,10.601,30.6
SF00107,Maharashtra,Warangal,Chilli,Rabi,1.32,285.5,25.3,49.2,8.5,6.3,11.5,94.0,21.8,98.8,Sprinkler,81.0,2.93,0.71,3.66,4.83,49970,290529,241355,-49174,1037.4,4.656,52.2
SF00108,Maharashtra,Indore,Maize,Rabi,6.47,636.6,26.8,88.3,6.2,6.17,29.6,21.6,34.9,78.7,Flood,259.0,7.35,0.72,2.72,17.6,88371,118020,1555330,1437310,1955.8,8.999,46.9
SF00109,Maharashtra,Warangal,Pulses,Zaid,1.14,410.8,28.7,68.7,7.0,6.46,36.9,138.3,84.1,36.0,Flood,187.7,2.26,0.73,0.86,0.98,33448,145080,32779,-112301,1665.8,0.588,37.1
SF00110,Karnataka,Ludhiana,Sugarcane,Rabi,0.9,647.8,25.5,82.0,7.4,5.25,11.5,115.4,29.8,51.2,Rainfed,117.0,5.12,0.9,1.81,1.63,19256,274074,31387,-242687,855.4,1.906,56.0
SF00111,Telangana,Ludhiana,Wheat,Zaid,4.62,453.1,21.9,61.3,9.2,6.96,22.4,131.8,7.7,49.4,Drip,176.6,9.95,0.91,0.78,3.6,32969,160450,118688,-41762,3920.5,0.918,24.2
SF00112,Maharashtra,Ludhiana,Pulses,Kharif,6.58,750.8,32.5,68.5,7.7,6.79,18.4,147.0,29.9,95.9,Drip,109.8,7.75,0.76,2.77,18.23,63957,339952,1165936,825984,3237.3,5.631,13.6
SF00113,Telangana,Nalgonda,Chilli,Rabi,2.58,213.7,29.4,71.4,6.6,5.23,49.7,116.5,39.2,122.5,Rainfed,180.0,5.39,0.83,3.05,7.87,35392,150902,278535,127633,902.0,8.725,62.1
